Reference_ID,Treatment_ID,tankV_m3,tankN,totalV_m3,density_kg_m3,biomass_kg,exchRate,FR,CP,rearingV_m3,dailyFeed_kg_d,freshwater_m3_d,waterExPerFeed_L_kg
Siqwepu2020,FeAA-5,0.1,3,0.3,0.393333333333333,0.118,NA,NA,0.37,0.30000000000000004,NA,NA,NA
Siqwepu2020,FeAA-10,0.1,3,0.3,0.403333333333333,0.121,NA,NA,0.37,0.30000000000000004,NA,NA,NA
Siqwepu2020,FeAA-20,0.1,3,0.3,0.393333333333333,0.118,NA,NA,0.37,0.30000000000000004,NA,NA,NA
Siqwepu2020,Control,0.1,3,0.3,0.366666666666667,0.11,NA,NA,0.38,0.30000000000000004,NA,NA,NA
Delaide2021,AE,1.8,20,160,15,540,0.15,NA,0.56,36,NA,24,NA
Delaide2021,AEC,1.8,20,160,15,540,0.15,NA,0.56,36,NA,24,NA
Delaide2021,Std_E1,1.8,20,160,15,540,0.15,NA,0.56,36,NA,24,NA
Delaide2021,AE-NPK,1.8,20,160,15,540,0.15,NA,0.56,36,NA,24,NA
Delaide2021,AN-NPK,1.8,20,160,15,540,0.15,NA,0.56,36,NA,24,NA
Delaide2021,Std_E2,1.8,20,160,15,540,0.15,NA,0.56,36,NA,24,NA
Atique2022,RAS,0.5,3,2.3,12,18,NA,NA,NA,1.5,NA,NA,NA
Atique2022,Aquaponic,0.5,3,2.3,12,18,NA,NA,NA,1.5,NA,NA,NA
Atique2022,Hydroponic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhu2022,Aquaponic,1,1,1.1,27.4,27.4,NA,0.02,0.45,1,0.5479999999999999,NA,NA
Zhu2022,Hydroponic,1,1,1.1,27.4,27.4,NA,0.02,0.45,1,0.5479999999999999,NA,NA
Knaus2022,EbbFlow,1,9,13,7.64615384615385,68.8153846153846,0.0088,0.0098,0.44,9,0.6743907692307691,0.1144,169.63458757077618
Knaus2022,FloatingRaft,1,9,13,7.64615384615385,68.8153846153846,0.0088,0.0098,0.44,9,0.6743907692307691,0.1144,169.63458757077618
Knaus2022,GrowPipe,1,9,13,7.64615384615385,68.8153846153846,0.0088,0.0098,0.44,9,0.6743907692307691,0.1144,169.63458757077618
Suhl2016,Aquaponic,1.8,4,11.24,20.7,149.04,0.0404,0.0155,NA,7.2,2.31012,0.454096,196.56814364621752
Suhl2016,Hydroponic,1.8,4,11.24,20.7,149.04,0.0404,0.0155,NA,7.2,2.31012,0.454096,196.56814364621752
