,chemFormula,chemCation,chemAnion,solSaltmol,solCationmol,solAnionmol,solSaltmg,solCationmg,solAnionmg
Copper chloride,\ce{CuCl2},Cu,Cl,5.6e+00,5.6e+00,1.1e+01,7.6e+05,3.6e+05,4.0e+05
Zinc nitrate,\ce{Zn(NO3)2},Zn,NO3,6.3e+00,6.3e+00,1.3e+01,1.2e+06,4.1e+05,7.8e+05
Ammonium nitrate,\ce{NH4NO3},NH4,NO3,2.6e+01,2.6e+01,2.6e+01,2.1e+06,4.8e+05,1.6e+06
Copper nitrate,\ce{Cu(NO3)2},Cu,NO3,7.7e+00,7.7e+00,1.5e+01,1.4e+06,4.9e+05,9.5e+05
Potassium carbonate,\ce{K2CO3},K,CO3,8.0e+00,1.6e+01,8.0e+00,1.1e+06,6.3e+05,4.8e+05
Potassium orthophosphate,\ce{K3PO4},K,PO4,5.4e+00,1.6e+01,5.4e+00,1.1e+06,6.3e+05,5.1e+05
Potassium hydroxide,\ce{KOH},K,OH,2.1e+01,2.1e+01,2.1e+01,1.2e+06,8.4e+05,3.7e+05
Iron(II) sulfid,\ce{FeS},Fe,S,2.4e+01,2.4e+01,2.4e+01,2.2e+06,1.4e+06,7.8e+05
Zinc chloride,\ce{ZnCl2},Zn,Cl,3.0e+01,3.0e+01,6.0e+01,4.1e+06,2.0e+06,2.1e+06
Manganese sulfid,\ce{MnS},Mn,S,5.5e+03,5.5e+03,5.5e+03,4.8e+08,3.0e+08,1.8e+08
