Id;Type;Month;Pond;C14:0;C14:1;C16:0;C18:0;C18:1;LIN;GLA;ALA;SDA;ARA;EPA;DHA;FAME;LCPUFA;SCPUFA;SFA;MUFA;PUFA;BFA;TFA;n3;n6;dw;filter;;;;TL
B53;Insect;July;Kieb;0.90547766;0;8.568155265;2.66571693;5.894969129;8.316030702;0.146897027;8.915825614;0.269884184;1.461752876;4.261517767;0;45.64;5.845192492;17.64863753;13.33414494;8.33696524;23.49383002;3.191002919;0.390275792;13.5351181;9.958711925;;;;;;
B54;Insect;July;Kieb;1.056813504;0.01152555;8.599297315;3.405895731;7.606717607;10.10624416;0.21837575;7.433586285;0.567941123;1.253263905;6.786802876;0;53.85;8.205788151;18.4142604;14.34270243;12.49257779;26.62004855;4.3746202;0.461436985;14.9013054;11.71874315;;;;;;
B46;Insect;July;NL;4.642670517;0.028655616;22.70831984;6.599833911;13.24291555;7.913360079;0.305076664;8.210382389;0.708788844;1.696285929;5.958262753;0;85.49;8.042502936;17.13760798;37.27504131;21.48731521;25.18011091;7.643602612;0.710681316;15.17003187;10.01007904;;;;;;
B47;Insect;July;NL;2.451725707;0.017595449;20.99934824;5.816180321;11.64892034;3.344632613;0.0789881;2.282427785;0.181811168;0.444240892;1.551450524;0.112301512;58.43;2.186603854;5.887859665;31.91051521;16.55174158;8.074463516;7.59000858;0.781549049;4.170597404;3.903866114;;;;;;
B34;Insect;July;Stadt;0.606342432;0.012062272;6.257579266;3.002412129;6.100347331;4.563083865;0.219078385;2.970048923;0.19669616;1.484224335;4.427449392;0.064082541;33.98;6.231425132;7.948907335;11.2436546;7.830796539;14.18033247;4.129748866;0.264310823;7.799668247;6.380664223;;;;;;
B35;Insect;July;Stadt;1.365847321;0.013034053;13.32220199;4.426707416;10.50904133;5.884666333;0.208469341;4.53354189;0.41276186;1.033951165;2.747273429;0.034804919;51.08;3.939749418;11.03943942;20.5563679;14.51824431;14.97918884;4.84873143;0.371637947;7.818898846;7.160289999;;;;;;
B36;Insect;July;Stadt;0.740083061;0.008837771;7.846560581;2.391241377;6.396561717;4.193449959;0.135919449;2.479792988;0.186334083;0.819464974;2.095688166;0.162721803;31.77;3.210775172;6.99549648;11.98171366;8.922267292;10.20627165;2.763547904;0.276980337;5.025144495;5.181127157;;;;;;
B24;Insect;June;Dach;0.483736858;0;6.499599867;3.848576287;5.713506925;6.529446317;0;3.285045256;0.134753311;1.453733404;5.077084758;0.099290971;38.2;6.823958462;9.949244884;11.58064779;9.169397159;16.77320334;3.260925394;0.126669374;8.725169554;8.048033791;;;;;;
B25;Insect;June;Dach;0.858727922;0.028231689;9.362457106;5.014049823;10.39382485;5.570529504;0;3.652126791;0.225722391;2.140505519;9.697434588;1.161087558;54.08;13.54503451;9.448378686;17.01799085;13.45938874;22.9934132;3.436160788;0.750867756;15.14613474;7.847278456;;;;;;
B26;Insect;June;Dach;1.198036644;0.021805891;6.551673033;2.83494644;6.063770769;3.496183395;0;6.840429214;0.484321306;0.803893039;4.240907247;0.662003014;37.95;6.108571882;10.82093391;11.41882297;7.528297299;16.9295058;2.929250827;0.514404653;12.54677497;4.38273082;;;;;;
B16;Insect;June;Durn;1.86231695;0;11.16400581;7.546663185;7.854275913;11.17858458;0.156339021;6.102104194;0.218430095;1.276804905;4.880134297;0.800193641;62.56;7.175341352;17.65545788;22.10141826;13.82621484;24.83079923;5.720370999;0.123237396;12.15807994;12.6727193;;;;;;
B17;Insect;June;Durn;3.820851591;0.095604262;17.64066773;8.410126771;15.27735852;12.42653316;0.226647558;8.48717739;0.950961591;1.431764042;7.412977286;1.745189051;96.62;11.40994321;22.57473366;31.81237003;27.72856097;33.98467687;9.468710177;0.171045649;19.26633205;14.71834482;;;;;;
B27;Insect;June;Durn;0.443604451;0;2.405152123;1.304026817;2.674205607;6.249032109;0.147212949;1.941267466;0.114764128;0.620424029;1.500014223;0;21.82933333;2.18193881;8.452276652;4.790992924;6.021550437;10.63421546;2.245632026;0.257642382;3.590083354;7.044132108;;;;;;
B1;Insect;June;Eng;2.396138019;0.07738346;18.54079641;10.80825838;10.35759902;10.71241985;0.533677216;11.5574029;0.788428664;1.492085422;12.11421603;0.087252302;92.17;14.09680214;23.59192863;33.17431212;19.75470871;37.68873078;7.328539979;0.112665536;24.86691463;12.82181614;;;;;;
